Date,Depth_to_Groundwater,Temperature,Drainage_Volume,River_Hydrometry,Rainfall,Depth_to_Groundwater_log,Depth_to_Groundwater_diff_1,Depth_to_Groundwater_diff_2
2009-01-01,-31.048571428571428,1.6571428571428573,-28164.918857142857,2.371428571428571,0.0,3.4355527985793923,0.0,0.0
2009-01-08,-30.784285714285716,4.571428571428571,-29755.789714285715,2.314285714285714,2.0,3.4270043556995065,0.26428571428571246,0.26428571428571246
2009-01-15,-30.419999999999998,7.528571428571429,-25463.190857142858,2.3,0.2,3.4151002868311466,0.36428571428571743,0.10000000000000497
2009-01-22,-30.018571428571427,6.214285714285714,-23854.422857142858,2.5,4.1,3.401816237750266,0.40142857142857125,0.03714285714285381
2009-01-29,-29.79,5.771428571428571,-25210.532571428572,2.5,9.9,3.394172766725191,0.22857142857142776,-0.1728571428571435
2009-02-05,-29.52285714285714,8.257142857142856,-25326.555428571428,2.757142857142857,3.3,3.3851647817308956,0.2671428571428578,0.03857142857143003
2009-02-12,-29.375714285714285,1.5142857142857142,-25441.837714285713,2.585714285714286,0.8,3.3801682882781137,0.1471428571428568,-0.120000000000001
2009-02-19,-29.111428571428572,4.0,-25206.089142857145,2.414285714285714,0.0,3.371130831490826,0.26428571428571246,0.11714285714285566
2009-02-26,-28.891428571428573,8.142857142857142,-28097.28,2.4,9.9,3.3635449619031794,0.21999999999999886,-0.044285714285713595
2009-03-05,-28.694285714285716,8.557142857142857,-28783.91314285714,2.414285714285714,12.2,3.3566979989098797,0.1971428571428575,-0.022857142857141355
2009-03-12,-28.625714285714285,10.142857142857142,-30018.198857142856,2.5,0.0,3.3543054147758036,0.06857142857143117,-0.12857142857142634
2009-03-19,-28.305714285714284,6.471428571428572,-27305.732571428573,2.557142857142857,3.4,3.343063702489571,0.3200000000000003,0.2514285714285691
2009-03-26,-28.131428571428575,12.585714285714285,-27678.85714285714,2.542857142857143,8.7,3.3368874058346867,0.17428571428570905,-0.14571428571429124
2009-04-02,-28.032857142857143,13.657142857142857,-28997.691428571427,2.5714285714285716,1.0,3.3333772915859177,0.0985714285714323,-0.07571428571427674
2009-04-09,-27.784285714285716,14.757142857142856,-27310.176,2.371428571428571,0.2,3.3244705987997007,0.24857142857142733,0.14999999999999503
2009-04-16,-27.64428571428571,13.685714285714285,-27917.814857142857,2.314285714285714,8.1,3.3194190416657428,0.14000000000000412,-0.10857142857142321
2009-04-23,-27.494285714285716,13.614285714285714,-28880.55771428571,2.314285714285714,4.1,3.3139781908729415,0.14999999999999503,0.009999999999990905
2009-04-30,-27.37857142857143,14.528571428571428,-28303.035428571427,2.3000000000000003,2.9,3.3097606427712507,0.11571428571428655,-0.03428571428570848
2009-05-07,-27.43,18.914285714285715,-32117.59542857143,2.1142857142857143,0.0,3.311637304949512,-0.051428571428569825,-0.16714285714285637
2009-05-14,-27.462857142857143,21.185714285714287,-33886.203428571425,2.1,0.0,3.3128344423729,-0.03285714285714292,0.018571428571426907
2009-05-21,-27.615714285714287,24.25714285714286,-35739.730285714286,2.0285714285714285,0.0,3.3183849688782874,-0.1528571428571439,-0.120000000000001
2009-05-28,-27.405714285714286,17.62857142857143,-29132.722285714284,2.0571428571428574,28.6,3.310751542223891,0.21000000000000085,0.36285714285714477
2009-06-04,-27.391428571428573,20.857142857142858,-32619.57942857143,2.1,0.0,3.3102301385935373,0.014285714285712459,-0.1957142857142884
2009-06-11,-27.655714285714286,24.342857142857145,-34814.88,2.0142857142857142,0.0,3.319832371560545,-0.26428571428571246,-0.2785714285714249
2009-06-18,-27.631428571428575,20.428571428571427,-31658.56457142857,2.0,0.3,3.318953841233504,0.02428571428571047,0.2885714285714229
2009-06-25,-27.50714285714286,21.314285714285713,-27435.702857142856,2.085714285714286,0.0,3.3144457112056047,0.12428571428571544,0.10000000000000497
2009-07-02,-27.377142857142854,23.728571428571428,-30460.690285714285,2.1142857142857143,0.5,3.309708462959608,0.1300000000000061,0.005714285714290668
2009-07-09,-27.527142857142856,24.228571428571428,-31732.004571428573,2.185714285714286,0.0,3.3151725308824975,-0.15000000000000213,-0.28000000000000824
2009-07-16,-27.791428571428572,25.37142857142857,-32862.24,2.0,1.3,3.324727648385981,-0.264285714285716,-0.11428571428571388
2009-07-23,-28.075714285714287,27.728571428571428,-33621.20228571429,1.957142857142857,0.0,3.3349049423565815,-0.2842857142857156,-0.019999999999999574
2009-07-30,-28.185714285714287,25.271428571428572,-29555.588571428572,2.0,47.1,3.3388152639732565,-0.10999999999999943,0.17428571428571615
2009-08-06,-27.975714285714286,24.642857142857142,-27771.428571428572,2.042857142857143,0.1,3.3313367868734316,0.21000000000000085,0.3200000000000003
2009-08-13,-28.074285714285715,26.542857142857144,-30658.05257142857,2.1285714285714286,0.0,3.334854058245134,-0.09857142857142875,-0.3085714285714296
2009-08-20,-28.367142857142856,27.142857142857142,-36924.64457142857,2.0,0.0,3.3452315337436276,-0.29285714285714093,-0.19428571428571217
2009-08-27,-28.364285714285717,26.142857142857142,-34107.264,2.0,0.0,3.3451308085219473,0.0028571428571382285,0.29571428571427916
2009-09-03,-28.43285714285714,22.771428571428572,-33484.07314285714,2.0,0.0,3.347545418075816,-0.06857142857142406,-0.07142857142856229
2009-09-10,-28.415714285714284,19.62857142857143,-33047.629714285715,2.0,0.0,3.346942312061656,0.017142857142857792,0.08571428571428186
2009-09-17,-28.35571428571429,19.842857142857145,-31940.22857142857,2.0142857142857142,13.6,3.344828571969173,0.05999999999999517,0.042857142857137376
2009-09-24,-28.53857142857143,20.5,-35881.673142857144,1.9857142857142858,0.0,3.3512565557353273,-0.1828571428571415,-0.24285714285713667
2009-10-01,-28.664285714285715,18.685714285714287,-36227.39657142857,1.9,0.0,3.3556519476576123,-0.12571428571428456,0.05714285714285694
2009-10-08,-28.698571428571427,15.757142857142858,-34546.669714285716,1.9714285714285715,10.7,3.3568473455187444,-0.03428571428571203,0.09142857142857252
2009-10-15,-28.722857142857144,9.128571428571428,-34660.224,1.9,0.0,3.3576932219219606,-0.024285714285717575,0.009999999999994458
2009-10-22,-28.827142857142857,13.685714285714285,-35441.280000000006,2.0,0.0,3.3613174036224795,-0.10428571428571232,-0.07999999999999474
2009-10-29,-28.94857142857143,9.285714285714286,-36182.22171428571,1.9857142857142858,7.1,3.3655208566381067,-0.12142857142857366,-0.017142857142861345
2009-11-05,-28.997142857142855,9.37142857142857,-35895.99085714285,2.0285714285714285,15.3,3.3671973029653586,-0.04857142857142449,0.07285714285714917
2009-11-12,-29.024285714285718,10.214285714285714,-32759.424,2.0,0.0,3.368132917954206,-0.02714285714286291,0.021428571428561582
2009-11-19,-29.111428571428572,9.0,-33538.752,2.0,0.1,3.371130831490826,-0.08714285714285452,-0.059999999999991616
2009-11-26,-29.125714285714285,9.87142857142857,-33556.77257142857,2.1142857142857143,20.3,3.3716214364165276,-0.014285714285712459,0.07285714285714207
2009-12-03,-29.174285714285713,6.485714285714286,-32384.571428571428,2.2285714285714286,14.5,3.3732876950720785,-0.048571428571428044,-0.034285714285715585
2009-12-10,-29.244285714285716,5.071428571428571,-34467.42857142857,2.242857142857143,2.7,3.3756841943972167,-0.07000000000000384,-0.021428571428575793
2009-12-17,-29.31,4.2,-34561.97485714286,2.414285714285714,11.9,3.377928754722801,-0.06571428571428228,0.0042857142857215536
2009-12-24,-29.228571428571428,10.62857142857143,-28683.071999999996,2.742857142857143,13.6,3.375146704462213,0.08142857142857096,0.14714285714285325
2009-12-31,-29.118571428571432,7.114285714285714,-27844.37485714286,3.057142857142857,62.1,3.371376164040326,0.10999999999999588,0.028571428571424917
2010-01-07,-28.99285714285714,5.1571428571428575,-26982.843428571425,3.1999999999999997,3.7,3.3670494942295934,0.12571428571429166,0.015714285714295784
2010-01-14,-28.84142857142857,3.3428571428571425,-27086.15314285714,2.5285714285714285,0.1,3.3618128455668193,0.15142857142857125,0.025714285714279583
2010-01-21,-28.694285714285716,2.8285714285714287,-29221.714285714286,2.414285714285714,12.7,3.3566979989098797,0.14714285714285325,-0.004285714285718001
2010-01-28,-28.451428571428572,2.1285714285714286,-28145.046857142857,2.4714285714285715,0.0,3.348198372718669,0.24285714285714377,0.09571428571429053
2010-02-04,-28.352857142857143,4.371428571428572,-28536.438857142854,2.6571428571428575,22.7,3.344727806148854,0.09857142857142875,-0.14428571428571502
2010-02-11,-28.261428571428574,4.714285714285714,-29152.224,2.6142857142857143,0.6,3.3414979269846876,0.09142857142856897,-0.007142857142859782
2010-02-18,-28.042857142857144,9.957142857142857,-28267.241142857143,3.057142857142857,1.7,3.333733952227102,0.21857142857142975,0.12714285714286078
2010-02-25,-27.794285714285714,10.985714285714286,-26876.448,2.857142857142857,7.3999999999999995,3.324830449722489,0.24857142857143089,0.030000000000001137
2010-03-04,-27.514285714285712,4.671428571428572,-28580.626285714283,2.642857142857143,6.0,3.314705350308712,0.28000000000000114,0.03142857142857025
2010-03-11,-27.31142857142857,6.428571428571429,-29869.344,2.6571428571428575,0.8,3.3073052435803034,0.20285714285714107,-0.07714285714286007
2010-03-18,-27.018571428571427,11.257142857142856,-29612.859428571428,2.5142857142857147,0.0,3.29652446024505,0.2928571428571445,0.09000000000000341
2010-03-25,-26.674285714285713,12.985714285714286,-29946.85714285714,2.4,0.0,3.2837000194829327,0.3442857142857143,0.051428571428569825
2010-04-01,-26.47142857142857,10.214285714285714,-28560.13714285714,2.442857142857143,4.5,3.2760659842360007,0.20285714285714107,-0.14142857142857324
2010-04-08,-26.244285714285716,10.828571428571427,-28388.571428571428,2.3714285714285714,0.9,3.2674482782655323,0.2271428571428551,0.024285714285714022
2010-04-15,-26.124285714285715,12.700000000000001,-28499.78057142857,2.3714285714285714,0.0,3.2628653688312284,0.120000000000001,-0.1071428571428541
2010-04-22,-26.009999999999998,16.157142857142855,-29189.746285714285,2.314285714285714,0.0,3.25848107946056,0.11428571428571743,-0.005714285714283562
2010-04-29,-25.83142857142857,16.6,-28332.164571428573,2.314285714285714,6.8,3.251591912253907,0.17857142857142705,0.06428571428570962
2010-05-06,-25.704285714285714,14.5,-28114.436571428574,2.3285714285714283,16.1,3.246657737309114,0.12714285714285722,-0.051428571428569825
2010-05-13,-25.544285714285714,13.528571428571428,-27274.258285714284,2.9714285714285715,45.0,3.240413640531798,0.16000000000000014,0.03285714285714292
2010-05-20,-25.45285714285714,17.8,-29826.39085714286,2.5142857142857147,0.0,3.236828001640565,0.09142857142857252,-0.06857142857142762
2010-05-27,-25.31142857142857,19.099999999999998,-30167.424,2.4,0.0,3.231256015928573,0.14142857142856968,0.04999999999999716
2010-06-03,-25.244285714285716,21.12857142857143,-30492.041142857142,2.2714285714285714,0.9,3.228599821764651,0.06714285714285495,-0.07428571428571473
2010-06-10,-25.395714285714284,23.685714285714287,-30179.766857142855,2.0285714285714285,2.2,3.2345804308792805,-0.1514285714285677,-0.21857142857142264
2010-06-17,-25.208571428571428,18.857142857142858,-28539.15428571429,2.3285714285714287,10.1,3.227184072738645,0.18714285714285595,0.33857142857142364
2010-06-24,-25.217142857142857,22.071428571428573,-29380.690285714285,2.0142857142857142,5.3,3.227524035346033,-0.008571428571428896,-0.19571428571428484
2010-07-01,-25.55,25.957142857142856,-31061.046857142857,2.0,0.0,3.2406373166497136,-0.33285714285714363,-0.32428571428571473
2010-07-08,-25.834285714285716,26.74285714285714,-32111.547428571426,2.0,0.0,3.2517025133710913,-0.2842857142857156,0.048571428571428044
2010-07-15,-26.16,28.414285714285715,-32727.456000000002,2.0,0.0,3.264231526588998,-0.32571428571428385,-0.04142857142856826
2010-07-22,-26.344285714285714,24.342857142857145,-30230.249142857145,2.0,0.0,3.2712513905317144,-0.18428571428571416,0.14142857142856968
2010-07-29,-26.22,22.885714285714283,-29523.62057142857,2.0,0.0,3.2665224783355535,0.12428571428571544,0.3085714285714296
2010-08-05,-26.361428571428572,23.099999999999998,-31960.717714285714,2.0,2.0,3.2719019028330734,-0.14142857142857324,-0.2657142857142887
2010-08-12,-26.318571428571428,22.428571428571427,-29295.154285714285,2.0,15.399999999999999,3.270274827954104,0.04285714285714448,0.18428571428571772
2010-08-19,-26.40285714285714,26.214285714285715,-32911.85828571428,2.0,0.0,3.273472229404581,-0.08428571428571274,-0.12714285714285722
2010-08-26,-26.389999999999997,22.75714285714286,-29351.06742857143,2.0,0.0,3.2729851505152325,0.012857142857143344,0.09714285714285609
2010-09-02,-26.458571428571428,21.114285714285717,-31218.048000000003,2.0,0.0,3.275580167379397,-0.06857142857143117,-0.08142857142857451
2010-09-09,-26.419999999999998,19.25714285714286,-30472.539428571432,2.042857142857143,14.100000000000001,3.2741212990941793,0.03857142857143003,0.1071428571428612
2010-09-16,-26.397142857142857,19.342857142857145,-29814.665142857142,2.0571428571428574,0.1,3.2732557791872856,0.022857142857141355,-0.015714285714288678
2010-09-23,-26.365714285714287,15.985714285714286,-30635.712,2.0571428571428574,0.3,3.272064464810185,0.03142857142857025,0.008571428571428896
2010-09-30,-26.427142857142858,16.4,-31355.053714285714,2.042857142857143,10.0,3.2743916205079846,-0.06142857142857139,-0.09285714285714164
2010-10-07,-26.385714285714283,14.842857142857143,-30542.770285714283,2.185714285714286,0.0,3.272822738149881,0.04142857142857537,0.10285714285714675
2010-10-14,-26.325714285714287,12.671428571428573,-30022.025142857143,2.0142857142857142,0.0,3.270546191012403,0.05999999999999517,0.0185714285714198
2010-10-21,-26.457142857142856,11.585714285714285,-31678.683428571425,2.0571428571428574,0.0,3.2755261731567655,-0.13142857142856812,-0.1914285714285633
2010-10-28,-26.382857142857144,11.857142857142858,-29555.46514285714,2.1,17.4,3.272714448583475,0.07428571428571118,0.2057142857142793
2010-11-04,-26.31142857142857,11.585714285714287,-29113.097142857143,2.1714285714285717,25.3,3.270003391237908,0.07142857142857295,-0.0028571428571382285
2010-11-11,-26.34857142857143,11.214285714285714,-29258.002285714287,2.3428571428571425,0.1,3.2714140582831917,-0.037142857142857366,-0.10857142857143032
2010-11-18,-26.33857142857143,8.885714285714286,-29334.774857142856,2.6571428571428575,38.0,3.271034459026986,0.00999999999999801,0.04714285714285538
2010-11-25,-26.291428571428572,6.014285714285714,-28724.790857142856,3.242857142857143,30.599999999999998,3.2692429762319546,0.04714285714285893,0.03714285714286092
2010-12-02,-26.254285714285714,8.928571428571429,-32327.17714285714,3.142857142857143,9.1,3.2678292410174254,0.037142857142857366,-0.010000000000001563
2010-12-09,-25.805714285714284,4.985714285714286,-29762.825142857146,2.357142857142857,0.0,3.2505959513460385,0.4485714285714302,0.4114285714285728
2010-12-16,-25.435714285714287,3.414285714285714,-30179.026285714288,2.585714285714286,7.3,3.2361542606684734,0.36999999999999744,-0.07857142857143273
2010-12-23,-25.025714285714287,6.014285714285714,-27446.688,2.7714285714285714,0.0,3.2199038676796294,0.41000000000000014,0.0400000000000027
2010-12-30,-24.735714285714288,3.9428571428571426,-28275.140571428572,2.4285714285714284,0.3,3.2082481217931176,0.28999999999999915,-0.120000000000001
2011-01-06,-24.44142857142857,7.328571428571428,-28364.132571428574,2.4285714285714284,1.4,3.196279584781244,0.29428571428571715,0.004285714285718001
2011-01-13,-24.208571428571428,4.771428571428571,-27851.410285714286,2.3,0.1,3.186706761715005,0.2328571428571422,-0.06142857142857494
2011-01-20,-23.92571428571429,3.042857142857143,-27659.60228571429,2.3714285714285714,17.2,3.1749537920956294,0.28285714285713937,0.04999999999999716
2011-01-27,-23.812857142857144,5.314285714285715,-27247.844571428574,2.414285714285714,5.9,3.1702256508996833,0.11285714285714477,-0.1699999999999946
2011-02-03,-23.655714285714286,5.114285714285714,-26774.002285714287,2.3285714285714287,0.0,3.1636047045990794,0.15714285714285836,0.044285714285713595
2011-02-10,-23.407142857142855,6.514285714285714,-26045.403428571426,2.3,8.4,3.15304122608951,0.24857142857143089,0.09142857142857252
